,ECONOMÍA ,ECONOMÍA ,,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD
,variable,variable,,variable,variable,variable,variable,variable,KPI,KPI,KPI,KPI,KPI,KPI,KPI,KPI,KPI,KPI,K R I**,K R I**,K R I**,KPI,KPI,KPI,KPI,K R I**,K R I**,KPI,KPI,KPI,K R I**,K R I**,KPI,KPI,KPI,KPI,KPI,KPI,KPI,KPI,KPI,KPI,KPI
,,,,,,,,,,,,,,,,,Transparencia,Transparencia,Seguridad,Seguridad,Seguridad,Efectividad gubernamental,Efectividad gubernamental,Calidad regulatoria,Calidad regulatoria,Control de la corrupción,Control de la corrupción,Facilidad para hacer negocios,Facilidad para hacer negocios,Infrestructura lógistica,Infrestructura lógistica,Infrestructura lógistica,Ecosistema de Innovación,Ecosistema de Innovación,Ecosistema de Innovación,Ecosistema de Innovación,Ecosistema de Innovación,Salud,Salud,Educación,Integridad y equidad de genero,Integridad y equidad de genero,Sustentabilidad ambiental
Estado,PIBE 2023 (MILLONES DE PESOS CONSTANTES DE 2018) ,Superficie territorial (km2),,Población: tamaño de mercado 1,Unidades económicas totales: tamaño de mercado (DENUE) 2,Unidades económicas sectoriales (cosntrucción/siderurgía/minería),Inversión Extranjera Directa Total (último año)(%),Inversión Extranjera Directa Total (último año)(mdd),Crecimiento del PIB (2023 vs 2022) %,Índice de Especialización (LQ),PIB per cápita (PIBE/hab),Tasa de ocupación ,PIBE Sectorial/Unidad económica,Unidades económicas sectoriales/km2,(IED/por cada 1000 unidades económicas) (USD),Exportaciones por cada 1000 unidades económicas,índice de Transparencia Físcal,Instituciones de las administraciones públicas estatales (Instituciones/100 mil hab),Porcentaje de unidades económicas víctimas del delito (cada 10000 unidades) ,Presuntos delitos registrados como daño a la propiedad en las intervenciones de la policía estatal (fuero común) ,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más (Casos por cada 100 mil habitantes)","Trámites atendidos por las administraciones públicas estatales, pago de impuestos (tramites/10 mil hab)",Porcentaje de unidades económicas que identifica a la policía federal y considera algo efectivo o muy efectivo el trabajo de la policía federal (Porcentaje),"Población de 18 años y más que realizó personalmente al menos un trámite, pago o solicitud de servicios con un servidor público (pob/100 mil hab)","Porcentaje de satisfacción general al realizar trámites, pagos y servicios generales (Porcentaje)","Tasa de prevalencia de corrupción al realizar un trámite personal por cada cien mil habitantes (Tasa), 2023","Trámites, pagos o solicitudes de servicios realizados personalmente con un servidor público en los que existió corrupción",porcentaje de usuarios que enfrentaron barreras al realizar el trámite (Porcentaje),Días o trámites para abrir una empresa ,Porcentaje de satisfacción con el servicio de autopistas con casetas de cuota (Porcentaje),Accidentes de tránsito terrestre en zonas urbanas y suburbanas ,Manzanas con restricción del paso a automóviles en al menos una vialidad,Porcentaje de la población de 15 años y más con instrucción superior (Porcentaje),Porcentaje de viviendas particulares habitadas que disponen de Internet (Porcentaje),Población interesada en desarrollos científicos y tecnológicos (Porcentaje de población,Patentes por cada 100 mil hab,Terminales punto de venta por cada 100 mil hab,Porcentaje de la población derechohabiente en el IMSS (Porcentaje),Unidades médicas privadas (Número de establecimientos particulares de salud,Porcentaje de la población de 15 años y más con instrucción superior (Porcentaje),Porcentaje de la población en situación de pobreza (Porcentaje de población,Brecha de ingresos por género (Valor absoluto de la diferencia de ingresos mensuales promedio de hombres y mujeres dividida entre los ingresos mensuales promedio de los hombres),Áreas naturales protegidas de competencia estatal por entidad federativa por cada millón de hab
AGS,334210.7,5471.0,,1425607.0,"45,000",1.0,1.00%,357.4,6.24,0.92,"$368,249",95.1,7.43,10.4,"$21,121,182.79","$217,000,000",86.15,4,45.26%,421,50.8,,70,55.3,85.2,11951,71.00,43.90%,10,70.2,"4,473",13,24.6,81.40,,0.35,21501,0.18%,54,24.6,"1,80%",,125184
BC,951065.7,69921.0,,3769020.0,"150,000",5.0,5.60%,2001.3,3.46,0.92,"$424,500",95.3,6.34,1.7,"$21,163,662.84","$366,000,000",47.67,1.64,31.20%,448,73.5,,44.4,47.8,80.5,14644,90.90,36.30%,9,82.7,"11,782",13.1,21.6,86.40,,0.53,54483,2.07%,97,21.6,"1,30%",,2945470
BCS,181155.0,73475.0,,798447.0,"25,000",2.0,0.10%,35.7,1.70,1.2,"$580,207",94.8,7.25,0.5,"$20,441,014.90","$31,530,265",68.45,4.88,25.66%,151,30.1,,61.8,49.2,82.1,10522,77.30,39.40%,9,85.4,"6,045",4.3,23.1,78.90,,0.25,20889,0.37%,40,23.1,"0,80%",,2602299
CAMP,508300.3,50812.0,,928363.0,"30,000",1.0,0.30%,107.2,7.54,2.85,"$498,667",93.7,16.94,0.7,"$13,851,694.52","$131,000,000",89.56,8.29,31.79%,43,63.1,,60.5,46.7,78.9,11802,70.60,52.10%,11,67.2,"4,574",17.2,22.3,70.90,,0.3,7535,0.93%,50,22.3,"9,60%",,1410511
COAH,929624.6,151571.0,,3146771.0,"191,000",7.0,0.10%,35.7,-0.66,1.41,"$479,146",95,4.87,0.8,"$26,113,978.81","$536,000,000",48.93,2.22,24.66%,654,37.6,,69.8,34.5,74.3,11464,85.00,37.80%,8,76.1,"10,876",9.2,23.7,76.90,,0.15,42244,1.28%,91,23.7,"1,80%",,2331781
COL,154500.2,5191.0,,731391.0,"145,000",1.0,4.40%,1572.4,4.08,1.05,"$405,742",94.6,1.07,5.9,"$15,084,776.44","$29,777,349",68.23,9.43,28.52%,261,79.7,,57.4,50.1,81.7,10262,87.00,41.60%,10,73.9,"6,225",10.4,24.4,75.50,,0.6,10160,0.29%,99,24.4,"1,20%",,22154
CHIA,380224.9,74211.0,,5543828.0,"476,096",10.0,44.20%,15790.5,1.53,0.62,"$73,076",92.3,0.80,2.6,"$3,666,533.97","$12,282,889",71.14,1.35,16.04%,127,77.5,,53.1,58.9,83.5,12600,80.60,52.90%,11,59.7,"4,065",12.5,13.3,44.30,,1.2,19907,17.67%,259,13.3,"28,20%",,1140097
